,Stock Code,Stock Name,Industry Type,Date,Open,Close,Highest,Lowest,Volume,Turnover,Price Fluctuation,Price Change Rate,Price Change,Turnover Ratio,P/E Ratio(dynamic)
691,600007,中国国贸,房地产开发,2024-08-14,21.55,21.26,21.55,21.24,9487,20260962.00,1.44,-0.93,-0.20,0.09,19.52
692,600007,中国国贸,房地产开发,2024-08-15,21.24,21.54,21.80,21.14,14382,30977203.00,3.10,1.32,0.28,0.14,19.52
693,600007,中国国贸,房地产开发,2024-08-16,21.43,21.19,21.53,21.12,10553,22488166.00,1.90,-1.62,-0.35,0.10,19.52
694,600007,中国国贸,房地产开发,2024-08-19,21.18,21.27,21.56,21.13,9647,20578169.00,2.03,0.38,0.08,0.10,19.52
695,600007,中国国贸,房地产开发,2024-08-20,21.27,21.00,21.35,20.86,12876,27045978.00,2.30,-1.27,-0.27,0.13,19.52
696,600007,中国国贸,房地产开发,2024-08-21,20.96,20.94,21.06,20.59,10754,22385683.00,2.24,-0.29,-0.06,0.11,19.52
697,600007,中国国贸,房地产开发,2024-08-22,20.86,21.14,21.24,20.85,10853,22879858.00,1.86,0.96,0.20,0.11,19.52
698,600007,中国国贸,房地产开发,2024-08-23,21.06,21.37,21.61,21.06,13901,29767844.00,2.60,1.09,0.23,0.14,19.52
699,600007,中国国贸,房地产开发,2024-08-26,21.51,21.42,21.51,21.02,16058,34258064.00,2.29,0.23,0.05,0.16,19.52
700,600007,中国国贸,房地产开发,2024-08-27,21.31,21.17,21.65,20.82,19478,41183803.00,3.87,-1.17,-0.25,0.19,19.52
701,600007,中国国贸,房地产开发,2024-08-28,20.96,21.14,21.37,20.96,13037,27615994.00,1.94,-0.14,-0.03,0.13,19.52
702,600007,中国国贸,房地产开发,2024-08-29,21.04,21.24,21.28,20.86,14496,30567855.00,1.99,0.47,0.10,0.14,19.52
703,600007,中国国贸,房地产开发,2024-08-30,21.05,21.51,21.88,20.96,17630,37813976.00,4.33,1.27,0.27,0.18,19.52
704,600007,中国国贸,房地产开发,2024-09-02,21.47,21.28,21.53,20.75,23948,50754530.00,3.63,-1.07,-0.23,0.24,19.52
705,600007,中国国贸,房地产开发,2024-09-03,21.28,21.43,21.68,21.02,21085,45096189.00,3.10,0.70,0.15,0.21,19.52
706,600007,中国国贸,房地产开发,2024-09-04,21.30,21.29,21.59,21.13,12070,25821356.00,2.15,-0.65,-0.14,0.12,19.52
707,600007,中国国贸,房地产开发,2024-09-05,21.37,21.98,22.02,21.35,15973,34783439.00,3.15,3.24,0.69,0.16,19.52
708,600007,中国国贸,房地产开发,2024-09-06,22.00,21.83,22.12,21.70,11540,25275416.00,1.91,-0.68,-0.15,0.11,19.52
709,600007,中国国贸,房地产开发,2024-09-09,21.86,22.65,22.72,21.73,26006,58262090.00,4.54,3.76,0.82,0.26,19.52
710,600007,中国国贸,房地产开发,2024-09-10,22.63,22.75,22.80,22.20,22633,50927900.00,2.65,0.44,0.10,0.22,19.52
711,600007,中国国贸,房地产开发,2024-09-11,22.60,23.36,23.65,22.51,35229,82064298.00,5.01,2.68,0.61,0.35,19.52
712,600007,中国国贸,房地产开发,2024-09-12,23.38,23.40,24.01,23.22,36883,86914749.00,3.38,0.17,0.04,0.37,19.52
713,600007,中国国贸,房地产开发,2024-09-13,23.40,23.26,23.69,23.04,45223,105658637.00,2.78,-0.60,-0.14,0.45,19.52
714,600007,中国国贸,房地产开发,2024-09-18,23.20,23.99,24.16,23.15,32695,77896218.00,4.34,3.14,0.73,0.32,19.52
715,600007,中国国贸,房地产开发,2024-09-19,24.00,24.44,24.47,23.89,31337,76187256.00,2.42,1.88,0.45,0.31,19.52
716,600007,中国国贸,房地产开发,2024-09-20,24.28,24.60,25.04,24.09,41419,101849173.00,3.89,0.65,0.16,0.41,19.52
717,600007,中国国贸,房地产开发,2024-09-23,24.60,25.28,25.34,24.34,36855,92600245.00,4.07,2.76,0.68,0.37,19.52
718,600007,中国国贸,房地产开发,2024-09-24,25.44,25.42,25.60,24.72,34426,86532905.00,3.48,0.55,0.14,0.34,19.52
719,600007,中国国贸,房地产开发,2024-09-25,25.50,25.71,25.93,25.48,26511,68096876.00,1.77,1.14,0.29,0.26,19.52
720,600007,中国国贸,房地产开发,2024-09-26,25.58,26.14,26.29,25.36,45624,118646196.00,3.62,1.67,0.43,0.45,19.52
721,600007,中国国贸,房地产开发,2024-09-27,26.28,26.32,26.50,25.75,29511,77089840.00,2.87,0.69,0.18,0.29,19.52
722,600007,中国国贸,房地产开发,2024-09-30,26.82,27.59,28.00,26.54,117897,322779454.00,5.55,4.83,1.27,1.17,19.52
